Mode,LearningRate,BatchSize,Accuracy
frozen,0.001,8,0.896
frozen,0.001,16,0.911333333333333
frozen,0.001,32,0.914
frozen,0.0001,8,0.904666666666667
frozen,0.0001,16,0.905333333333333
frozen,0.0001,32,0.896666666666667
frozen,1e-05,8,0.710666666666667
frozen,1e-05,16,0.565333333333333
frozen,1e-05,32,0.53
partial,0.001,8,0.873333333333333
partial,0.001,16,0.892666666666667
partial,0.001,32,0.873333333333333
partial,0.0001,8,0.923333333333333
partial,0.0001,16,0.914666666666667
partial,0.0001,32,0.922666666666667
partial,1e-05,8,0.924666666666667
partial,1e-05,16,0.902666666666667
partial,1e-05,32,0.896
full,0.001,8,0.77
full,0.001,16,0.764
full,0.001,32,0.817333333333333
full,0.0001,8,0.904666666666667
full,0.0001,16,0.918666666666667
full,0.0001,32,0.93
full,1e-05,8,0.927333333333333
full,1e-05,16,0.912666666666667
full,1e-05,32,0.905333333333333
